,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
186,32,0.0,6633,0.3302253999863751,"[0, 0, 0, 0, 0]",200,0.4,8192
187,64,0.0,13065,0.4786303000000771,"[0, 0, 0, 0, 0]",200,0.4,8192
188,128,0.0,25929,0.7462252999830525,"[0, 0, 0, 0, 0]",200,0.4,8192
189,256,0.0,51657,1.2482235999777913,"[0, 0, 0, 0, 0]",200,0.4,8192
190,512,0.0,103113,2.2244231999793556,"[0, 0, 0, 0, 0]",200,0.4,8192
191,1024,0.0,201402,4.0703299999877345,"[0, 0, 0, 0, 0]",200,0.4,8192
192,2048,0.0,201402,4.0703299999877345,"[0, 0, 0, 0, 0]",200,0.4,8192
193,4096,0.0,201402,4.0703299999877345,"[0, 0, 0, 0, 0]",200,0.4,8192
194,8192,0.0,201402,4.0703299999877345,"[0, 0, 0, 0, 0]",200,0.4,8192
195,0,4.0,200,0.0011434000043664128,"[0, 1, 1, 0, 0]",200,0.5,8192
196,1,0.0,402,0.04283150000264868,"[1, 1, 1, 1, 1]",200,0.5,8192
197,2,0.0,603,0.08554369999910705,"[1, 1, 1, 1, 1]",200,0.5,8192
198,4,0.0,1005,0.13195849998737685,"[1, 1, 1, 1, 1]",200,0.5,8192
199,8,0.0,1809,0.18445829997654073,"[1, 1, 1, 1, 1]",200,0.5,8192
200,16,0.0,3417,0.25211529998341575,"[1, 1, 1, 1, 1]",200,0.5,8192
201,32,0.0,6633,0.3547913999937009,"[1, 1, 1, 1, 1]",200,0.5,8192
202,64,0.0,13065,0.5144976000010502,"[1, 1, 1, 1, 1]",200,0.5,8192
203,128,0.0,25929,0.7991027999960352,"[1, 1, 1, 1, 1]",200,0.5,8192
204,256,0.0,51657,1.3393987999879755,"[1, 1, 1, 1, 1]",200,0.5,8192
205,512,0.0,103113,2.34531419997802,"[1, 1, 1, 1, 1]",200,0.5,8192
206,1024,0.0,201402,4.2317250999913085,"[1, 1, 1, 1, 1]",200,0.5,8192
207,2048,0.0,201402,4.2317250999913085,"[1, 1, 1, 1, 1]",200,0.5,8192
208,4096,0.0,201402,4.2317250999913085,"[1, 1, 1, 1, 1]",200,0.5,8192
209,8192,0.0,201402,4.2317250999913085,"[1, 1, 1, 1, 1]",200,0.5,8192
210,0,4.0,200,0.0012205000093672425,"[0, 1, 1, 0, 0]",200,0.6000000000000001,8192
211,1,0.0,402,0.046915499988244846,"[1, 1, 1, 1, 1]",200,0.6000000000000001,8192
212,2,0.0,603,0.09230240000761114,"[1, 1, 1, 1, 1]",200,0.6000000000000001,8192
213,4,0.0,1005,0.1422098999901209,"[1, 1, 1, 1, 1]",200,0.6000000000000001,8192
214,8,0.0,1809,0.19887709998874925,"[1, 1, 1, 1, 1]",200,0.6000000000000001,8192
215,16,0.0,3417,0.27109749999362975,"[1, 1, 1, 1, 1]",200,0.6000000000000001,8192
216,32,0.0,6633,0.377952999988338,"[1, 1, 1, 1, 1]",200,0.6000000000000001,8192
217,64,0.0,13065,0.5405212999903597,"[1, 1, 1, 1, 1]",200,0.6000000000000001,8192
218,128,0.0,25929,0.8240357000031509,"[1, 1, 1, 1, 1]",200,0.6000000000000001,8192
219,256,0.0,51657,1.3504782000090927,"[1, 1, 1, 1, 1]",200,0.6000000000000001,8192
220,512,0.0,103113,2.3656723000167403,"[1, 1, 1, 1, 1]",200,0.6000000000000001,8192
221,1024,0.0,201402,4.3346588000131305,"[1, 1, 1, 1, 1]",200,0.6000000000000001,8192
222,2048,0.0,201402,4.3346588000131305,"[1, 1, 1, 1, 1]",200,0.6000000000000001,8192
223,4096,0.0,201402,4.3346588000131305,"[1, 1, 1, 1, 1]",200,0.6000000000000001,8192
224,8192,0.0,201402,4.3346588000131305,"[1, 1, 1, 1, 1]",200,0.6000000000000001,8192
225,0,3.0,200,0.0011098000104539096,"[1, 0, 1, 0, 0]",200,0.7000000000000001,8192
226,1,0.0,402,0.04791819999809377,"[1, 1, 1, 1, 1]",200,0.7000000000000001,8192
227,2,0.0,603,0.09560749999945983,"[1, 1, 1, 1, 1]",200,0.7000000000000001,8192
228,4,0.0,1005,0.14673450001282617,"[1, 1, 1, 1, 1]",200,0.7000000000000001,8192
229,8,0.0,1809,0.20532740000635386,"[1, 1, 1, 1, 1]",200,0.7000000000000001,8192
230,16,0.0,3417,0.2904211000131909,"[1, 1, 1, 1, 1]",200,0.7000000000000001,8192
231,32,0.0,6633,0.3974011999962386,"[1, 1, 1, 1, 1]",200,0.7000000000000001,8192
232,64,0.0,13065,0.5588435000099707,"[1, 1, 1, 1, 1]",200,0.7000000000000001,8192
233,128,0.0,25929,0.8462491999962367,"[1, 1, 1, 1, 1]",200,0.7000000000000001,8192
234,256,0.0,51657,1.3981462999945506,"[1, 1, 1, 1, 1]",200,0.7000000000000001,8192
235,512,0.0,103113,2.4310259000048973,"[1, 1, 1, 1, 1]",200,0.7000000000000001,8192
236,1024,0.0,201402,4.363423800008604,"[1, 1, 1, 1, 1]",200,0.7000000000000001,8192
237,2048,0.0,201402,4.363423800008604,"[1, 1, 1, 1, 1]",200,0.7000000000000001,8192
238,4096,0.0,201402,4.363423800008604,"[1, 1, 1, 1, 1]",200,0.7000000000000001,8192
239,8192,0.0,201402,4.363423800008604,"[1, 1, 1, 1, 1]",200,0.7000000000000001,8192
240,0,4.0,200,0.0011427999997977167,"[1, 0, 0, 1, 1]",200,0.8,8192
241,1,0.0,402,0.05470370000693947,"[1, 1, 1, 1, 1]",200,0.8,8192
242,2,0.0,603,0.1099648000090383,"[1, 1, 1, 1, 1]",200,0.8,8192
243,4,0.0,1005,0.16576120001263916,"[1, 1, 1, 1, 1]",200,0.8,8192
